date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:28	13445/13445	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jun%202017%2009:20:26%20GMT	https://duminimal.wixsite.com/bfhquake	C:/My%20Web%20Sites/bfhquake/duminimal.wixsite.com/bfhquake.html	(from )
10:20:29	445/445	---M--	200	added ('OK')	text/plain	date:Tue,%2006%20Jun%202017%2009:20:27%20GMT	https://duminimal.wixsite.com/robots.txt		(from )
10:20:30	15219/15219	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2241d6234ac5270f9d344e50a6b68aa3d4-1%22	https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	C:/My%20Web%20Sites/bfhquake/static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	(from https://duminimal.wixsite.com/bfhquake)
10:20:30	42260/42260	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22073ef64162e6e455c0ea27b436e7e294-1%22	https://static.parastorage.com/services/santa/1.2311.5/app/main-r.min.js	C:/My%20Web%20Sites/bfhquake/static.parastorage.com/services/santa/1.2311.5/app/main-r.min.js	(from https://duminimal.wixsite.com/bfhquake)
10:20:31	148008/148008	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225d282c2b67868d8ed5e3610dd58529bc-1%22	https://static.parastorage.com/services/third-party/react/0.14.3/react-with-addons.min.js	C:/My%20Web%20Sites/bfhquake/static.parastorage.com/services/third-party/react/0.14.3/react-with-addons.min.js	(from https://duminimal.wixsite.com/bfhquake)
10:20:31	111633/111633	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22b2d85bf0692969a4f3b579ae1baf213d-1%22	https://static.parastorage.com/services/third-party/tweenmax/1.19.0/minified/TweenMax.min.js	C:/My%20Web%20Sites/bfhquake/static.parastorage.com/services/third-party/tweenmax/1.19.0/minified/TweenMax.min.js	(from https://duminimal.wixsite.com/bfhquake)
10:20:32	72772/72772	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%223b2312c43f32921dc97bc117abdb1417-1%22	https://static.parastorage.com/services/third-party/lodash/4.17.4/dist/lodash.min.js	C:/My%20Web%20Sites/bfhquake/static.parastorage.com/services/third-party/lodash/4.17.4/dist/lodash.min.js	(from https://duminimal.wixsite.com/bfhquake)
10:20:32	3131/3131	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202017%2009:20:30%20GMT	https://duminimal.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/bfhquake/duminimal.wixsite.com/sitemap.xml	(from https://duminimal.wixsite.com/bfhquake)
10:20:33	3131/3131	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202017%2009:20:31%20GMT	https://duminimal.wixsite.com/feed.xml	C:/My%20Web%20Sites/bfhquake/duminimal.wixsite.com/feed.xml	(from https://duminimal.wixsite.com/bfhquake)
10:20:33	3131/3131	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202017%2009:20:32%20GMT	https://duminimal.wixsite.com/	C:/My%20Web%20Sites/bfhquake/duminimal.wixsite.com/index.html	(from https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js)
10:20:33	3131/3131	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202017%2009:20:32%20GMT	https://duminimal.wixsite.com/GET	C:/My%20Web%20Sites/bfhquake/duminimal.wixsite.com/GET	(from https://static.parastorage.com/services/santa/1.2311.5/app/main-r.min.js)
10:20:34	3131/3131	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202017%2009:20:33%20GMT	https://duminimal.wixsite.com/Version/	C:/My%20Web%20Sites/bfhquake/duminimal.wixsite.com/Version/index.html	(from https://static.parastorage.com/services/third-party/tweenmax/1.19.0/minified/TweenMax.min.js)
